Content type: GET login, Content length: 0, Date: 07/19/22 - 19:01:27, , Host: localhost:8080, Content: 

Content type: POST login, Content length: 33, Date: 07/19/22 - 19:02:22, , Host: localhost:8080, Content: username=basic&password=passbasic

Content type: POST operationReadOnly, Content length: 42, Date: 07/19/22 - 19:03:39, , Host: localhost:8080, Content: operation=2+2+2+3&operationType=read

Content type: GET operationReadOnly, Content length: ReadOnly? HTTP/1.1, Date: 07/19/22 - 19:03:41, , Host: localhost:8080, Content: 

Content type: POST operationReadOnly, Content length: 42, Date: 07/19/22 - 19:04:12, , Host: localhost:8080, Content: operation=2+2+2+3&operationType=read

Content type: GET operationReadOnly, Content length: ReadOnly? HTTP/1.1, Date: 07/19/22 - 19:04:35, , Host: localhost:8080, Content: 

Content type: GET login, Content length: TP/1.1, Date: 07/19/22 - 19:04:37, , Host: localhost:8080, Content: 

Content type: GET login, Content length: TP/1.1, Date: 07/19/22 - 19:04:42, , Host: localhost:8080, Content: 

Content type: POST login, Content length: 30, Date: 07/19/22 - 19:04:46, , Host: localhost:8080, Content: username=asdasd&password=asdad

Content type: POST login, Content length: 31, Date: 07/19/22 - 19:04:55, , Host: localhost:8080, Content: username=asdasd&password=asdasd

Content type: POST login, Content length: 31, Date: 07/19/22 - 19:05:49, , Host: localhost:8080, Content: username=asdasd&password=asdasd

Content type: POST login, Content length: 33, Date: 07/19/22 - 19:05:54, , Host: localhost:8080, Content: username=admin&password=admin1234

Content type: POST operation, Content length: 42, Date: 07/19/22 - 19:06:03, , Host: localhost:8080, Content: operation=2+2+2+3&operationType=read

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:06:12, , Host: localhost:8080, Content: 

Content type: POST operation, Content length: 34, Date: 07/19/22 - 19:06:18, , Host: localhost:8080, Content: operation=Hola&operationType=write

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:06:25, , Host: localhost:8080, Content: 

Content type: GET asfhasgfhgasfhgafg, Content length: gasfhgafg HTTP/1.1, Date: 07/19/22 - 19:06:31, , Host: localhost:8080, Content: 

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:06:39, , Host: localhost:8080, Content: 

Content type: GET login, Content length: 0, Date: 07/19/22 - 19:07:04, , Host: localhost:8080, Content: 

Content type: GET login, Content length: 0, Date: 07/19/22 - 19:07:05, , Host: localhost:8080, Content: 

Content type: POST login, Content length: 33, Date: 07/19/22 - 19:07:10, , Host: localhost:8080, Content: username=admin&password=admin1234

Content type: POST operation, Content length: 44, Date: 07/19/22 - 19:07:18, , Host: localhost:8080, Content: operation=sqrt(89)-7&operationType=write

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:07:23, , Host: localhost:8080, Content: 

Content type: POST operation, Content length: 46, Date: 07/19/22 - 19:07:31, , Host: localhost:8080, Content: operation=sqrt(89)+7&operationType=write

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:07:32, , Host: localhost:8080, Content: 

Content type: POST operation, Content length: 49, Date: 07/19/22 - 19:07:36, , Host: localhost:8080, Content: operation=sqrt(89)+-+7&operationType=read

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:07:37, , Host: localhost:8080, Content: 

Content type: POST operation, Content length: 50, Date: 07/19/22 - 19:07:40, , Host: localhost:8080, Content: operation=sqrt(89)+-+7&operationType=write

Content type: GET request, Content length: HTTP/1.1, Date: 07/19/22 - 19:07:47, , Host: localhost:8080, Content: 

Content type: GET login, Content length: TP/1.1, Date: 07/19/22 - 19:07:50, , Host: localhost:8080, Content: 

Content type: POST login, Content length: 33, Date: 07/19/22 - 19:07:55, , Host: localhost:8080, Content: username=basic&password=passbasic

Content type: POST operationReadOnly, Content length: 42, Date: 07/19/22 - 19:07:58, , Host: localhost:8080, Content: operation=2+2+2+3&operationType=read

Content type: GET operationReadOnly, Content length: ReadOnly? HTTP/1.1, Date: 07/19/22 - 19:07:59, , Host: localhost:8080, Content: 

Content type: GET login, Content length: TP/1.1, Date: 07/19/22 - 19:08:30, , Host: localhost:8080, Content: 

